0 Color(h=19, s=62, v=94)
80 Color(h=3, s=48, v=57)
100 Color(h=191, s=19, v=66)
180 Color(h=19, s=62, v=94)
220 Color(h=191, s=19, v=66)
260 Color(h=19, s=62, v=94)
300 Color(h=191, s=19, v=66)
340 Color(h=19, s=62, v=94)
380 Color(h=191, s=19, v=66)
420 Color(h=19, s=62, v=94)
440 Color(h=191, s=19, v=66)
480 Color(h=19, s=62, v=94)
500 Color(h=191, s=19, v=66)
540 Color(h=19, s=62, v=94)
560 Color(h=191, s=19, v=66)
580 Color(h=167, s=37, v=43)
600 Color(h=41, s=66, v=100)
620 Color(h=191, s=19, v=66)
660 Color(h=19, s=62, v=94)
680 Color(h=191, s=19, v=66)
720 Color(h=19, s=62, v=94)
740 Color(h=191, s=19, v=66)
780 Color(h=19, s=62, v=94)
800 Color(h=191, s=19, v=66)
840 Color(h=19, s=62, v=94)
860 Color(h=191, s=19, v=66)
900 Color(h=19, s=62, v=94)
920 Color(h=191, s=19, v=66)
960 Color(h=19, s=62, v=94)
980 Color(h=191, s=19, v=66)
1020 Color(h=19, s=62, v=94)
1040 Color(h=191, s=19, v=66)
1080 Color(h=19, s=62, v=94)
1100 Color(h=191, s=19, v=66)
1120 Color(h=19, s=62, v=94)
1160 Color(h=191, s=19, v=66)
1200 Color(h=19, s=62, v=94)
1220 Color(h=191, s=19, v=66)
1260 Color(h=19, s=62, v=94)
1280 Color(h=191, s=19, v=66)
1300 Color(h=19, s=62, v=94)
1320 Color(h=191, s=19, v=66)
1360 Color(h=19, s=62, v=94)
1380 Color(h=191, s=19, v=66)
1421 Color(h=19, s=62, v=94)
1441 Color(h=191, s=19, v=66)
1481 Color(h=41, s=66, v=100)
1501 Color(h=191, s=19, v=66)
1541 Color(h=19, s=62, v=94)
1561 Color(h=191, s=19, v=66)
1601 Color(h=19, s=62, v=94)
1621 Color(h=191, s=19, v=66)
1661 Color(h=19, s=62, v=94)
1681 Color(h=191, s=19, v=66)
1721 Color(h=19, s=62, v=94)
1741 Color(h=41, s=66, v=100)
1781 Color(h=49, s=66, v=99)
1821 Color(h=11, s=75, v=88)
1841 Color(h=49, s=66, v=99)
1861 Color(h=60, s=31, v=100)
1881 Color(h=49, s=66, v=99)
1921 Color(h=93, s=65, v=99)
1941 Color(h=49, s=66, v=99)
1961 Color(h=155, s=43, v=89)
1981 Color(h=191, s=19, v=66)
2001 Color(h=19, s=62, v=94)
2021 Color(h=155, s=75, v=67)
2041 Color(h=3, s=48, v=57)
2061 Color(h=19, s=62, v=94)
2081 Color(h=167, s=37, v=43)
2101 Color(h=19, s=62, v=94)
2121 Color(h=190, s=84, v=89)
2141 Color(h=191, s=19, v=66)
2161 Color(h=19, s=62, v=94)
2181 Color(h=180, s=75, v=100)
